date,year,filer,deal_type,type_group,usd_mm,mw,n,headline,url
2026-08-05,2026,TERAWULF INC.,Lease,Lease,19000.0,401.0,1,"TeraWulf signs 20-year, ~$19bn lease with Anthropic for ~401 MW of critical IT capacity at its Justified Data Campus in Hawesville, Kentucky; also acquires the 1 GW Muskie Data Campus (Grayson, KY) and agrees to sell its 50.1% Abernathy JV interest for ~$530mm",https://www.sec.gov/Archives/edgar/data/1083301/000108330126000162/a_wulfearningsreleaseq22026.htm
2026-08-04,2026,Z Squared Inc.,Acquisition,Acquisition,30.0,8.0,1,"Z Squared agrees to acquire 100% of Paradox Data, LLC, an 8 MW AI-compute site in El Dorado, Arkansas, for $5mm in preferred stock at closing plus up to $25mm in milestone preferred tied to reaching 50/100/150 MW",https://www.sec.gov/Archives/edgar/data/1759186/000118518526003263/zsqrex2-1.htm
2026-08-04,2026,Hut 8 Corp.,Lease,Lease,9800.0,352.0,1,"Hut 8 Q2 2026 results: signs second 15-year 352 MW IT lease at Beacon Point (~$9.8bn base-term value) with the same investment-grade tenant, lifting contracted AI capacity to 949 MW / ~$26.6bn, and closes $7.5bn of investment-grade project financing for River Bend and Beacon Point Phase 1",https://www.sec.gov/Archives/edgar/data/1964789/000110465926090041/tm2621890d1_ex99-1.htm
2026-08-04,2026,Cipher Digital Inc.,Debt Financing,Debt Financing,810.0,700.0,1,"Cipher closes $810mm 6.000% senior secured notes to fully fund its Stingray data center, amends Black Pearl hyperscale lease to accelerate first capacity delivery (rent commenced August 2026), and acquires option on 900 MW Apollo site near San Antonio",https://www.sec.gov/Archives/edgar/data/1819989/000181998926000038/cipherdigital_businessup.htm
2026-08-04,2026,"Hyperscale Data, Inc.",Hosting/Colocation Agreement,Other,1200.0,20.0,1,"Hyperscale Data subsidiary Alliance Cloud Services signs 10-year MSA with a California-based neocloud provider for initial 20 MW of critical AI compute (expandable to 52 MW) at its Michigan data center campus, worth >$1.2bn over the maximum term",https://www.sec.gov/Archives/edgar/data/896493/000121465926009551/ex99_1.htm
2026-08-03,2026,Jet.AI Inc.,Equity Financing,Other,1.75,200.0,1,"Jet.AI invests $1.75mm via majority-owned SG Canada InvestCo for ~26% stake in StratGrid, developer of a ~200 MW behind-the-meter natural gas-powered AI data center campus (Project Wheatland) in Alberta",https://www.sec.gov/Archives/edgar/data/1861622/000149315226035824/ex99-1.htm
2026-07-30,2026,"NorthWestern Energy Group, Inc.",Development Agreement,Other,,150.0,1,"NorthWestern Energy Q2 2026 results disclose development agreements with Sabey Data Centers, Atlas Power and Quantica Infrastructure to supply electric service to Montana data centers, 150 MW starting late 2027 growing to ~1,500 MW by 2030",https://www.sec.gov/Archives/edgar/data/1993004/000199300426000052/ex991pressreleaseq22026.htm
2026-07-30,2026,XCEL ENERGY INC,Power/Interconnection Agreement,Other,,,1,"Xcel Energy's NSP-Minnesota enters electric service agreement to power a new Google data center in Minnesota, with Google paying all costs and a proposed Clean Energy Accelerator Charge for 1,900 MW of clean energy resources filed with the MPUC",https://www.sec.gov/Archives/edgar/data/72903/000007290326000149/xcelearningsreleaseq22026.htm
2026-07-28,2026,Galaxy Digital Inc.,Debt Financing,Debt Financing,3507.0,260.0,1,"Galaxy Helios Data Centers II LLC closes $3.507 billion of 9.875% senior secured notes due 2031 to build two data center buildings (8 data halls, 400 MW utility / 260 MW critical IT) in Dickens County, Texas leased to CoreWeave",https://www.sec.gov/Archives/edgar/data/1859392/000185939226000079/glxy-20260728.htm
2026-07-28,2026,"Core Scientific, Inc./tx",Hosting/Colocation Agreement,Other,,500.0,1,"Core Scientific and AMD announce infrastructure partnership under which AMD secures 500+ MW of U.S. AI data center capacity beginning in 2027, expandable to 2.5 GW, with AMD receiving market-priced warrants",https://www.sec.gov/Archives/edgar/data/1839341/000183934126000012/amdpr.htm
2026-07-28,2026,"Core Scientific, Inc./tx",Lease,Lease,14000.0,530.0,1,Core Scientific Q2 2026 earnings release highlights AMD partnership with 15-year colocation agreements for ~530 MW across five sites (>$14bn potential base contracted revenue) with potential to expand to 2.5 GW of leasable capacity,https://www.sec.gov/Archives/edgar/data/1839341/000183934126000013/q22026corescientificinc-ea.htm
2026-07-27,2026,Applied Digital Corp.,Lease,Lease,20200.0,810.0,1,"Applied Digital signs three 15-year take-or-pay leases (~$20bn) with the same U.S. investment-grade hyperscaler for 810 MW of critical IT: 300 MW at Delta Forge 1 (Boyce, LA), 300 MW at Polaris Forge 3 (ND) and 210 MW at Delta Forge 2, and closes $1.59bn 7.000% senior secured notes for Polaris Forge 1 Building 4",https://www.sec.gov/Archives/edgar/data/1144879/000114487926000044/apldq426earningsreleaseasf.htm
2026-07-24,2026,SLB LIMITED/NV,Other,Other,,1000.0,1,"SLB selected as delivery partner (modular infrastructure manufacturing through building fit-out) for Meta's planned 1 GW data center in Sturgeon County, Alberta; announces Liberty Energy alliance for data center power",https://www.sec.gov/Archives/edgar/data/87347/000119312526315068/d122193dex99.htm
2026-07-23,2026,"DIGITAL REALTY TRUST, INC.",Acquisition,Acquisition,3500.0,288.0,1,"Digital Realty acquires JV partners' 64% stake in three fully leased Northern Virginia hyperscale data centers (288 MW IT) at ~$7.8bn gross value for ~$3.5bn, alongside $475mm Kansas City powered-land purchase (2 GW) and pending Columbia Capital acquisition",https://www.sec.gov/Archives/edgar/data/1297996/000110465926086270/dlr-20260723xex99d1.htm
2026-07-23,2026,Empery Digital Inc.,Equity Financing,Other,20.0,750.0,1,Empery Digital closes $20mm preferred equity investment (~8% stake) in Cardinal Data Power as part of a ~$70mm Series A funding CDP's 750 MW Phase I behind-the-meter data center campus in West Texas,https://www.sec.gov/Archives/edgar/data/1829794/000168316826005723/empery_ex9901.htm
2026-07-22,2026,Apex Treasury Corp,SPAC Merger,Other,4000.0,77.0,1,"TECfusions, an AI data center developer with sites in Virginia, Arizona and Pennsylvania, signs SPAC business combination with Apex Treasury Corp at a $4.0 billion pre-money equity value plus a $35 million PIPE",https://www.sec.gov/Archives/edgar/data/2079253/000121390026080199/ea029866401ex99-1.htm
2026-07-16,2026,SharonAI Holdings Inc.,Other,Other,1320.0,,1,Sharon AI signs US$1.32bn five-year cloud computing service agreement with a global AI lab to be delivered from data center infrastructure in New Zealand,https://www.sec.gov/Archives/edgar/data/2068385/000149315226033457/ex99-1.htm
2026-07-13,2026,PLUG POWER INC,Sale/Divestiture,Other,142.0,164.0,1,"Plug Power agrees to sell its Graham, Texas project (164 MW interconnection) to Stream Data Centers for up to $76.5 million and restructures the $142 million New York Gateway site sale to Stream into a staged closing",https://www.sec.gov/Archives/edgar/data/1093691/000110465926082854/tm2620282d1_8k.htm
2026-07-10,2026,"AZIO AI HOLDINGS, INC.",Hosting/Colocation Agreement,Other,27.9,3.1,1,"Azio AI (formerly Envirotech Vehicles) signs $27.9mm power purchase and AI infrastructure hosting agreement with Power Champion for initial 3.1 MW GPU deployment, expandable to 12 MW (~$100mm)",https://www.sec.gov/Archives/edgar/data/1563568/000143774926023245/ex_986209.htm
2026-07-09,2026,"CleanCore Solutions, Inc.",Joint Venture,Joint Venture,100.0,200.0,1,"CleanCore Solutions (ZONE) closes joint venture with HST Technologies to develop a 200 MW West Texas AI data center campus (expandable to 500+ MW), committing up to $100 million initial capital for a 99% interest",https://www.sec.gov/Archives/edgar/data/1956741/000121390026076740/ea0297471-8k_cleancore.htm
2026-07-09,2026,Fermi Inc.,Debt Financing,Debt Financing,941.0,1500.0,1,"Fermi July 2026 investor update on Project Matador, a 7,570-acre gas-and-nuclear powered AI campus in Amarillo, Texas targeting up to 1.5 GW by YE2027 (6 GW air permit, up to 17 GW long term), backed by ~$941mm of equipment and corporate debt commitments from MUFG, Keystone, Beal Bank and Yorkville",https://www.sec.gov/Archives/edgar/data/2071778/000121390026076788/ea029753501ex99-2.htm
2026-07-07,2026,"Envirotech Vehicles, Inc.",Acquisition,Acquisition,,6.0,1,"Envirotech Vehicles closes all-stock merger with Azio AI to become an AI data center provider, with 6 MW of off-grid modular data centers deployed in South Texas and rights to a 548-acre site scalable to 500 MW",https://www.sec.gov/Archives/edgar/data/1563568/000143774926022877/ex_985229.htm
2026-07-06,2026,"Big Digital Energy, Inc.",Development Agreement,Other,,300.0,1,"Big Digital Energy signs LOI to acquire a ~50-acre power-ready ERCOT industrial site in the Dallas-Fort Worth area, via a planned 50/50 JV with 10NetZero, to develop a 300+ MW AI data center",https://www.sec.gov/Archives/edgar/data/1218683/000121390026075248/ea029690001ex99-2.htm
2026-06-30,2026,Blue Acquisition Corp/Cayman,Lease,Lease,2800.0,300.0,1,"Blockfusion (SPAC target of Blue Acquisition Corp) signs non-binding LOI with a leading AI customer for up to 300 MW anchor lease at its Niagara Falls, NY campus (85 MW take-or-pay, ~$2.8bn over 15 years) alongside a $175mm convertible note term sheet",https://www.sec.gov/Archives/edgar/data/2059654/000118518526002723/baccex99-1.htm
2026-06-29,2026,"Edgemode, Inc.",Sale/Divestiture,Other,,300.0,1,"Edgemode signs non-binding offer to sell its 300 MW IT off-grid 'DC Malpica AI' ready-to-build data center project in Mora (Toledo), Spain to Spark AI Foundry Holdings at EUR 1mm per permitted MW",https://www.sec.gov/Archives/edgar/data/1652958/000168316826005143/edgemode_ex1001.htm
2026-06-26,2026,Z Squared Inc.,Acquisition,Acquisition,5.0,8.0,1,"Z Squared signs binding LOI to acquire majority interest in Paradox Data and its Union County Campus in El Dorado, Arkansas (8 MW energized, targeting up to 150 MW firm power) for $5mm of Series D convertible preferred",https://www.sec.gov/Archives/edgar/data/1759186/000118518526002659/zsquaredex99-1.htm
2026-06-23,2026,Cerebras Systems Inc.,Other,Other,20000.0,750.0,1,"Cerebras Q1 2026 earnings release announces multi-year agreement for OpenAI to deploy 750 MW of Cerebras inference compute valued at more than $20bn, plus an $850mm revolver to accelerate data center acquisitions",https://www.sec.gov/Archives/edgar/data/2021728/000162828026044941/cbrsannouncesfinancialresu.htm
2026-06-22,2026,"DIGITAL REALTY TRUST, INC.",Acquisition,Acquisition,644.4,2000.0,1,"Digital Realty acquires 1,440 acres at Astra Enterprise Park near Kansas City (2 GW utility power at full delivery) for ~$377.6mm plus OP units, agrees to buy ~16% more of Teraco for ~$644.4mm in stock, and agrees to acquire Columbia Capital for ~$510mm",https://www.sec.gov/Archives/edgar/data/1297996/000119312526276844/d50837d8k.htm
2026-06-22,2026,HIVE Digital Technologies Ltd.,Hosting/Colocation Agreement,Other,220.0,,1,"HIVE's BUZZ HPC closes a three-year ~US$220mm sovereign AI GPU cloud contract with Bell AI Fabric for Cohere, deploying 2,304 NVIDIA GB200 GPUs at Bell's data centre in Merritt, British Columbia",https://www.sec.gov/Archives/edgar/data/1720424/000106299326003293/exhibit99-1.htm
2026-06-17,2026,"VisionWave Holdings, Inc.",Joint Venture,Joint Venture,40.0,10.5,1,"VisionWave signs term sheet with Lucky Whale Production for a joint venture to develop an underground Tier IV data center campus in Beth Shemesh, Israel, with ~$40mm all-share consideration for a 51% effective interest",https://www.sec.gov/Archives/edgar/data/2038439/000173112226000866/e7724_8k.htm
2026-06-16,2026,Applied Digital Corp.,Debt Financing,Debt Financing,1590.0,150.0,1,"Applied Digital subsidiary APLD ComputeCo 3 closes $1.59bn 7.000% senior secured notes due 2031 to fund 150 MW critical IT ELN-04 building leased to CoreWeave at Polaris Forge 1, Ellendale, North Dakota",https://www.sec.gov/Archives/edgar/data/1144879/000149315226028899/form8-k.htm
2026-06-15,2026,"Hyperscale Data, Inc.",Hosting/Colocation Agreement,Other,1000.0,20.0,1,"Hyperscale Data in advanced negotiations on a master services agreement to provide 20 MW of critical AI compute colocation capacity at its Michigan campus, expected to be worth over $1.0bn over 20 years, with expansion to 52 MW worth ~$2.5bn",https://www.sec.gov/Archives/edgar/data/896493/000121465926007477/ex99_1.htm
2026-06-12,2026,SharonAI Holdings Inc.,Other,Other,,72.0,1,"Sharon AI signs six-year strategic compute collaboration with NVIDIA to enable 72 MW of new AI factory data center capacity in Australia with up to 40,000 Grace Blackwell GB300 GPUs under a revenue-sharing and credit-support model",https://www.sec.gov/Archives/edgar/data/2068385/000149315226028370/ex99-1.htm
2026-06-10,2026,Hut 8 Corp.,Debt Financing,Debt Financing,4250.0,352.0,1,"Hut 8 subsidiary Beacon Point DC LLC closes $4.25 billion 6.129% senior secured notes due 2042 to build a 352 MW six-data-hall turnkey data center in Nueces County, Texas leased to an AA- or better rated tenant",https://www.sec.gov/Archives/edgar/data/1964789/000110465926071952/tm2617190d1_8k.htm
2026-06-10,2026,"Nixxy, Inc.",Acquisition,Acquisition,1000.0,120.0,1,"Nixxy signs binding LOI with Tachyon9 for a rollup creating a NASDAQ-listed AI infrastructure and energy platform, anchored by the ~$1bn, 1 GW behind-the-meter gas-powered Nakota data center project in Williston, North Dakota (first 120 MW targeted Q2 2027)",https://www.sec.gov/Archives/edgar/data/1462223/000168316826004709/nixxy_ex9901.htm
2026-06-09,2026,"Soluna Holdings, Inc",Joint Venture,Joint Venture,,350.0,1,"Soluna forms joint venture with Metrobloks affiliate DC Kati Venture LLC to develop the 350 MW multi-phase Project Kati 2 data center in Willacy County, Texas",https://www.sec.gov/Archives/edgar/data/64463/000149315226027852/form8-k.htm
2026-06-09,2026,Applied Digital Corp.,Lease,Lease,5200.0,210.0,1,"Applied Digital signs 210 MW, 15-year take-or-pay lease (~$5.2bn base-term revenue) with a U.S. investment-grade hyperscaler at its Delta Forge 2 AI Factory campus in a new southern state",https://www.sec.gov/Archives/edgar/data/1144879/000149315226027984/ex99-1.htm
2026-06-09,2026,Axe Compute Inc.,Other,Other,260.0,4.8,1,"Axe Compute files supplemental risk factors for its ~$260mm take-or-pay enterprise GPU compute contract requiring 4.8 MW of committed power in a single third-party data center facility, targeted for Q3 2026 deployment",https://www.sec.gov/Archives/edgar/data/1446159/000117184326004008/exh_991.htm
2026-06-08,2026,"CleanCore Solutions, Inc.",Development Agreement,Other,,,1,"CleanCore Solutions announces pivot to AI critical infrastructure and a non-binding LOI (dated May 7, 2026) to acquire a majority interest in an SPV developing a data center project in the midwestern U.S. (the Midwest Project)",https://www.sec.gov/Archives/edgar/data/1956741/000121390026066049/ea0293889-8k_cleancore.htm
2026-06-02,2026,HIVE Digital Technologies Ltd.,Land Acquisition,Other,,200.0,1,"HIVE FY2026 results: acquires 25-acre Greater Toronto Area site for CAD $58mm to develop a 320 MW (200 MW IT load) AI gigafactory targeted online 2H 2027 with ~CAD $3.5bn capex, and closes $115mm 0% exchangeable notes due 2031",https://www.sec.gov/Archives/edgar/data/1720424/000106299326002965/exhibit99-1.htm
2026-06-01,2026,"BlockchAIn Digital Infrastructure, Inc.",Power Purchase Agreement,Other,,65.0,1,BlockchAIn executes 15-year Electric Service Agreement expanding contracted utility load at its CLT-01 AI/HPC data center campus from 40 MW to 65 MW,https://www.sec.gov/Archives/edgar/data/2070542/000121390026063565/ea029232801ex99-1.htm
2026-05-26,2026,TERAWULF INC.,Acquisition,Acquisition,,1000.0,1,TeraWulf acquires 1+ GW Muskie Data Campus HPC development site in Eastern Kentucky from Industrial Equity Partners,https://www.sec.gov/Archives/edgar/data/1083301/000108330126000109/wulfeasternkypr5-26x26.htm
2026-05-21,2026,Jet.AI Inc.,Joint Venture,Joint Venture,,500.0,1,Jet.AI Q1 2026 results: Convergence Compute JV with Consensus Core secures natural gas supply equivalent to 500 MW of generation for its Manitoba hyperscale data center campus and completes third milestone set,https://www.sec.gov/Archives/edgar/data/1861622/000149315226024854/ex99-1.htm
2026-05-21,2026,Z Squared Inc.,Acquisition,Acquisition,,24.0,1,"Z Squared signs binding LOI to acquire Skycore Digital's three energized North Carolina sites (24 MW connected, expandable to 42 MW via Duke Energy authorizations) as first step toward 100 MW AI inference capacity plan",https://www.sec.gov/Archives/edgar/data/1759186/000168316826004194/zsquared_ex9901.htm
2026-05-20,2026,"Soluna Holdings, Inc",Acquisition,Acquisition,8.77,50.0,1,"Soluna acquires remaining 49% equity interest in Project Dorothy 1B (Silverton, TX) from Navitas Global for ~$8.8mm, taking 100% ownership of the 50 MW Dorothy 1 campus ahead of AI/HPC conversion",https://www.sec.gov/Archives/edgar/data/64463/000149315226024511/ex99-1.htm
2026-05-19,2026,"DUOS TECHNOLOGIES GROUP, INC.",Hosting/Colocation Agreement,Other,176.0,4.8,1,"Duos Technologies Q1 2026 call: advances Hydra Host GPU-as-a-Service agreement (2,304 NVIDIA GPUs, ~$176mm over 36 months, $15mm deposit received) and 4.8 MW high-power colocation contract for a leading hyperscaler in its edge data centers; 10 MW contracted with 15 MW more planned in 2026",https://www.sec.gov/Archives/edgar/data/1396536/000107997326000696/ex99x2.htm
2026-05-19,2026,"BlockchAIn Digital Infrastructure, Inc.",Lease,Lease,400.0,20.0,1,"BlockchAIn Digital Infrastructure investor deck highlights $400mm+ TCV LOI with a global cloud provider for a 20 MW build-to-suit AI facility at its South Carolina CLT01 campus, plus 25 MW of non-binding LOIs and 395 MW pipeline",https://www.sec.gov/Archives/edgar/data/2070542/000121390026058746/ea029138201ex99-1.htm
2026-05-19,2026,"New ERA Energy & Digital, Inc.",Debt Financing,Debt Financing,290.0,200.0,1,"New Era Energy & Digital Q1 2026 update: Macquarie up to $290mm project-level credit facility plus $115mm equity offering, Stream Data Centers JV LOI and a definitive agreement to acquire a 54-acre corridor for the 1.4 GW Texas Critical Data Center (TCDC) campus in Ector County, TX",https://www.sec.gov/Archives/edgar/data/2028336/000121390026058988/ea029141501ex99-1.htm
2026-05-14,2026,Fermi Inc.,Debt Financing,Debt Financing,785.0,2000.0,1,"Fermi America closes ~$785M of equipment financing (led by $500M MUFG facility) and secures >2 GW of gas generation for its Project Matador behind-the-meter AI campus in Carson County, Texas, with binding tenant agreement still pending",https://www.sec.gov/Archives/edgar/data/2071778/000207177826000027/fermiex99_2x1q2026invest.htm
2026-05-12,2026,HIVE Digital Technologies Ltd.,Other,Other,3.1,50.0,1,"HIVE's BUZZ HPC contracts a ~$3.1mm fibre optic network overbuild with a Canadian carrier (Bell Canada) at its 70 MW Grand Falls, New Brunswick campus being converted to a 50 MW Tier III AI data center",https://www.sec.gov/Archives/edgar/data/1720424/000106299326002517/exhibit99-1.htm
2026-05-11,2026,IREN Ltd,Hosting/Colocation Agreement,Other,3400.0,60.0,1,"IREN signs $3.4bn five-year AI Cloud contract with NVIDIA for ~60 MW of air-cooled Blackwell GPU capacity at Childress, Texas, paired with a $2.1bn NVIDIA equity investment tied to GPU deployment, plus acquisitions of Nostrum Group (490 MW secured power, Spain) and Mirantis",https://www.sec.gov/Archives/edgar/data/1878848/000187884826000028/irentranscript.htm
2026-05-11,2026,"Babcock & Wilcox Enterprises, Inc.",Other,Other,2400.0,1200.0,1,Babcock & Wilcox investor overview highlighting $2.4bn EPC contract to build 1.2 GW natural gas-fired power facility for Base Electron (backed by Applied Digital) serving an AI Factory campus in North Dakota,https://www.sec.gov/Archives/edgar/data/1630805/000163080526000032/bwiroverview-may2026v10.htm
2026-05-11,2026,"MARA Holdings, Inc.",Acquisition,Acquisition,,505.0,1,"MARA signs definitive agreement to acquire Long Ridge Energy & Power (505 MW nameplate CCGT on 1,600 acres in PJM adjacent to its Hannibal site) from FTAI Infrastructure to build an AI/critical-IT data center campus scalable to 600 gross MW",https://www.sec.gov/Archives/edgar/data/1507605/000150760526000014/q126shareholderletter.htm
2026-05-08,2026,Digi Power X Inc.,Hosting/Colocation Agreement,Other,1100.0,40.0,1,"Digi Power X signs 10-year, ~40 MW Data Center Colocation and Master Services Agreement with Cerebras Systems at its Columbiana, Alabama AI campus worth ~$1.1bn initial term",https://www.sec.gov/Archives/edgar/data/1854368/000121390026053566/ea0289585-8k_digi.htm
2026-05-08,2026,IREN Ltd,Other,Other,3400.0,60.0,1,"IREN signs 5-year $3.4bn AI Cloud contract with NVIDIA for air-cooled Blackwell GPUs within 60 MW of existing Childress, Texas data centers, plus 5 GW strategic partnership and $2.1bn NVIDIA investment rights",https://www.sec.gov/Archives/edgar/data/1878848/000187884826000025/irenreportsq3fy26results.htm
2026-05-08,2026,TERAWULF INC.,Debt Financing,Debt Financing,250.0,480.0,1,"TeraWulf closes $250mm revolving credit facility and acquires the 480 MW grid-connected Hawesville, Kentucky HPC site; 60 MW energized for Core42 at Lake Mariner and Abernathy 168 MW JV delivery targeted Q4 2026",https://www.sec.gov/Archives/edgar/data/1083301/000108330126000083/a_wulfearningsreleaseq1202.htm
2026-05-06,2026,"Core Scientific, Inc./tx",Debt Financing,Debt Financing,3300.0,,1,"Core Scientific Finance I LLC issues $3.3 billion 7.750% senior secured notes due 2031 backed by CoreWeave colocation license agreements at six data center sites in Texas, Georgia, North Carolina and Oklahoma",https://www.sec.gov/Archives/edgar/data/1839341/000119312526208905/d47435dex41.htm
2026-05-06,2026,BLACK HILLS CORP /SD/,Power/Interconnection Agreement,Other,201.0,1800.0,1,"Black Hills' Wyoming Electric signs agreement with prospective customer to procure long lead-time generation equipment to serve a 1.8 GW data center in Wyoming, backed by $201M in refundable contributions in aid of construction",https://www.sec.gov/Archives/edgar/data/1130464/000119312526209210/bkh-ex99.htm
2026-05-05,2026,"Solaris Energy Infrastructure, Inc.",Debt Financing,Debt Financing,1300.0,2200.0,1,"Solaris Energy Infrastructure markets $1.3bn senior notes and a $650mm MUFG-led revolver to fund behind-the-meter power contracts for AI data centers, disclosing a new >600 MW 10-year Master Equipment Rental Agreement with 'Customer C'",https://www.sec.gov/Archives/edgar/data/1697500/000119312526205278/d70943dex991.htm
2026-05-05,2026,Cipher Digital Inc.,Lease,Lease,200.0,100.0,1,"Cipher Digital signs third AI data center campus lease (~100 MW gross, 15-year initial term) with an investment-grade hyperscale tenant and closes $200mm revolving credit facility; Barber Lake and Black Pearl builds on schedule",https://www.sec.gov/Archives/edgar/data/1819989/000181998926000025/exh992cipherdigital_busi.htm
2026-05-05,2026,"Energy Vault Holdings, Inc.",Development Agreement,Other,,100.0,1,"Energy Vault adds 100 MW of Powered Land and Powered Shell projects for AI data center infrastructure (land rights and interconnection agreement completed for 75 MW Powered Land site), expected to yield >$65M annual EBITDA within 12-18 months",https://www.sec.gov/Archives/edgar/data/1828536/000182853626000038/ex991_evpressreleasex2026q1.htm
2026-05-01,2026,Hut 8 Corp.,Debt Financing,Debt Financing,3250.0,245.0,1,"Hut 8 subsidiary Hut 8 DC LLC closes $3.25 billion 6.192% senior secured notes due 2042 to fund the 245 MW River Bend data center in St. Francisville, Louisiana leased to Fluidstack with a Google guarantee",https://www.sec.gov/Archives/edgar/data/1964789/000110465926053247/tm2613163d1_8k.htm
